,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
58,73,WOA_Salinity,14.6,7.242390261560073,31.643949508666992,28.97598755196349,3,15,34.714285714285715,32.0
59,63,WOA_Nitrate,12.6,4.145928812490466,6.4142656326293945,5.1012242254283695,3,15,34.714285714285715,32.0
56,197,WOA_MLDpt,39.4,17.966377139970366,4.349999904632568,9.595939212644161,3,15,34.714285714285715,32.0
57,167,WOA_TEMP_K,33.4,5.109136463196442,6.411462402343773,9.232470410741042,3,15,34.714285714285715,32.0
60,188,WOA_MLDpt,37.6,40.085880199149265,5.300000190734863,20.005584904488096,4,16,15.13265306122449,9.0
61,110,WOA_Salinity,22.0,4.52572754174785,33.89894485473633,32.541970721158116,4,16,15.13265306122449,9.0
62,104,WOA_Nitrate,20.8,6.93378541115707,5.379456281661987,6.236867410059158,4,16,15.13265306122449,9.0
63,98,WOA_TEMP_K,19.6,4.899315232158122,13.850305175781273,11.564244920380283,4,16,15.13265306122449,9.0
64,179,WOA_MLDpt,35.8,37.86133618813347,16.049999237060547,23.602513875375248,4,17,40.55844155844156,29.0
65,122,WOA_Nitrate,24.4,7.143632702079689,4.378112316131592,6.956249220449417,4,17,40.55844155844156,29.0
66,122,WOA_TEMP_K,24.4,4.54313838829822,10.282128906250023,10.7497702676742,4,17,40.55844155844156,29.0
67,77,WOA_Salinity,15.4,4.162911095816163,35.150962829589844,33.56935964311872,4,17,40.55844155844156,29.0
68,167,WOA_TEMP_K,33.4,4.772584997416294,14.397790527343773,12.909377704551853,4,18,23.305882352941175,20.0
69,158,WOA_MLDpt,31.6,75.34631848746507,16.850000381469727,31.717720961268945,4,18,23.305882352941175,20.0
70,90,WOA_Salinity,18.0,2.7297995036097285,35.04722213745117,34.1734212451511,4,18,23.305882352941175,20.0
71,85,WOA_Nitrate,17.0,8.842295904320293,4.699887752532959,7.984446397949667,4,18,23.305882352941175,20.0
75,114,WOA_MLDpt,22.8,53.76580285283266,45.400001525878906,61.41710554926019,4,19,43.03508771929825,27.0
74,118,WOA_Nitrate,23.599999999999998,8.337876592023484,13.027191638946533,14.266797560377647,4,19,43.03508771929825,27.0
73,119,WOA_TEMP_K,23.799999999999997,4.1409120625883995,6.632745361328148,7.2622919675683,4,19,43.03508771929825,27.0
72,149,WOA_Salinity,29.799999999999997,4.64115622427191,33.56488800048828,31.737041050955753,4,19,43.03508771929825,27.0
76,159,WOA_MLDpt,31.8,125.16356725338011,4.849999904632568,82.84811238522799,4,20,39.436619718309856,26.0
77,141,WOA_Salinity,28.199999999999996,1.6763841296372357,33.895450592041016,34.14980140307271,4,20,39.436619718309856,26.0
78,129,WOA_TEMP_K,25.8,5.244307999285396,14.397790527343773,12.0165462523468,4,20,39.436619718309856,26.0
79,71,WOA_Nitrate,14.2,8.837439381188071,19.390811920166016,17.754748799431493,4,20,39.436619718309856,26.0
80,159,WOA_MLDpt,31.8,112.68741077591575,39.75,99.18081689930563,4,21,53.96666666666667,54.5
81,157,WOA_Salinity,31.4,0.7654669226041526,33.88469696044922,34.22823649606887,4,21,53.96666666666667,54.5
82,94,WOA_Nitrate,18.8,9.285799909876975,13.970744132995605,15.651846998708045,4,21,53.96666666666667,54.5
83,90,WOA_TEMP_K,18.0,5.437102432976111,8.356256103515648,7.823814222547766,4,21,53.96666666666667,54.5
84,183,WOA_TEMP_K,36.6,4.872121984040455,13.045495605468773,11.6044732432548,4,22,42.963855421686745,29.0
85,143,WOA_MLDpt,28.599999999999998,146.24887098937285,-2.0,71.91363633429253,4,22,42.963855421686745,29.0
86,91,WOA_Nitrate,18.2,9.877716058219798,8.869352340698242,12.399595579275719,4,22,42.963855421686745,29.0
87,83,WOA_Salinity,16.6,0.7991363937135393,34.5740966796875,34.83336515311735,4,22,42.963855421686745,29.0
91,90,WOA_Nitrate,18.0,1.4054219350419763,0.12081314623355865,0.569597986061126,4,23,30.58888888888889,20.5
90,118,WOA_TEMP_K,23.599999999999998,3.1739627919054914,17.363549804687523,18.950450160139717,4,23,30.58888888888889,20.5
88,153,WOA_MLDpt,30.599999999999998,35.70780765206782,5.699999809265137,19.487581499261793,4,23,30.58888888888889,20.5
89,139,WOA_Salinity,27.800000000000004,2.667833145031083,36.557151794433594,35.42547861277628,4,23,30.58888888888889,20.5
92,166,WOA_MLDpt,33.2,44.51651238435198,58.10000038146973,55.14668632415404,4,24,47.352112676056336,31.0
93,147,WOA_TEMP_K,29.4,2.2678304777487477,19.565026855468773,20.143834452726423,4,24,47.352112676056336,31.0
94,116,WOA_Salinity,23.200000000000003,1.569392124492975,36.603450775146484,35.99889770047418,4,24,47.352112676056336,31.0
95,71,WOA_Nitrate,14.2,2.0826177057433832,0.4406449496746063,1.5409234135057515,4,24,47.352112676056336,31.0
96,184,WOA_TEMP_K,36.8,3.517903546051558,19.041986083984398,20.71310842762825,4,25,65.66292134831461,29.0
97,119,WOA_MLDpt,23.799999999999997,41.6344147065763,17.899999618530273,36.218487675450426,4,25,65.66292134831461,29.0
98,108,WOA_Salinity,21.6,0.844078143236673,35.09858703613281,35.317590360288264,4,25,65.66292134831461,29.0
99,89,WOA_Nitrate,17.8,3.243648498172204,0.27263006567955017,2.794331586391278,4,25,65.66292134831461,29.0
103,78,WOA_TEMP_K,15.6,3.7753374460922053,20.031701660156273,22.622000043820126,4,26,31.666666666666668,6.5
100,192,WOA_MLDpt,38.4,28.033345316056106,4.150000095367432,19.919270863135655,4,26,31.666666666666668,6.5
101,133,WOA_Salinity,26.6,0.7874096200615956,35.690345764160156,35.86163602556501,4,26,31.666666666666668,6.5
102,97,WOA_Nitrate,19.400000000000002,2.4206811032560314,6.571257591247559,5.278639843226554,4,26,31.666666666666668,6.5
107,100,WOA_Nitrate,20.0,2.090210287349427,0.13744130730628967,1.0433373308507725,4,27,87.13,85.5
106,111,WOA_TEMP_K,22.2,3.741101418797278,24.836511230468773,24.101280088682447,4,27,87.13,85.5
105,111,WOA_Salinity,22.2,1.0215641361547951,35.2010498046875,35.526188962094416,4,27,87.13,85.5
104,178,WOA_MLDpt,35.6,27.59117104673083,44.400001525878906,38.25224714332752,4,27,87.13,85.5
108,192,WOA_MLDpt,38.4,26.85117264940481,29.199999809265137,27.308072939515114,4,28,50.486486486486484,34.5
109,145,WOA_Nitrate,28.999999999999996,2.1122672427110447,1.3473328351974487,1.8234283454459288,4,28,50.486486486486484,34.5
110,89,WOA_Salinity,17.8,1.1210630649236266,35.23194885253906,35.366147716393634,4,28,50.486486486486484,34.5
111,74,WOA_TEMP_K,14.799999999999999,3.0100142109873325,27.037164306640648,26.222755308409013,4,28,50.486486486486484,34.5
115,110,WOA_Salinity,22.0,0.8783030608378423,36.428802490234375,36.15214264609597,4,29,53.14545454545455,55.0
112,148,WOA_MLDpt,29.599999999999998,27.594855045283538,-2.0,19.096283680683857,4,29,53.14545454545455,55.0
113,123,WOA_TEMP_K,24.6,2.5044568474093025,26.375268554687523,25.495704067819506,4,29,53.14545454545455,55.0
114,119,WOA_Nitrate,23.799999999999997,1.9910743697035596,0.4044046998023987,1.7103549101382118,4,29,53.14545454545455,55.0
117,119,WOA_Salinity,23.799999999999997,0.6992778151197178,36.40049743652344,36.16241461489381,4,30,12.090909090909092,6.0
118,114,WOA_Nitrate,22.8,2.043898177832879,2.3394895792007446,2.2871219864801358,4,30,12.090909090909092,6.0
116,190,WOA_MLDpt,38.0,30.340803781645718,45.599998474121094,34.17842110081723,4,30,12.090909090909092,6.0
119,77,WOA_TEMP_K,15.4,2.0460081935309504,24.371697998046898,24.73932780476361,4,30,12.090909090909092,6.0
