,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
116,122,WOA_TEMP_K,24.4,2.5863934350967606,19.324502563476585,20.244435194672153,4,24,61.88333333333333,42.5
117,108,WOA_Salinity,21.6,2.484641786385571,36.606903076171875,35.87268400192261,4,24,61.88333333333333,42.5
118,66,SWrad,13.200000000000001,66.36633495964686,203.5564727783203,188.70835772427645,4,24,61.88333333333333,42.5
119,60,WOA_Nitrate,12.0,2.307687863774336,0.3521462082862854,1.6132039704515289,4,24,61.88333333333333,42.5
124,70,SWrad,14.000000000000002,46.34610500919051,241.8536376953125,228.20200337001256,4,25,77.04285714285714,51.5
123,80,WOA_Nitrate,16.0,3.3645136396903075,2.3841384649276733,3.402847842342453,4,25,77.04285714285714,51.5
120,161,WOA_TEMP_K,32.2,3.528837081625759,19.041986083984398,20.92026226920373,4,25,77.04285714285714,51.5
121,97,WOA_MLDpt,19.400000000000002,43.25767847503925,17.899999618530273,32.71030940222986,4,25,77.04285714285714,51.5
122,92,WOA_Salinity,18.4,0.7804813998868254,35.115509033203125,35.39968357915463,4,25,77.04285714285714,51.5
125,164,WOA_MLDpt,32.800000000000004,26.775878050810185,-2.0,20.01707309629859,4,26,20.242857142857144,5.0
126,97,WOA_Nitrate,19.400000000000002,2.6982768227873684,6.571257591247559,4.7422746157216045,4,26,20.242857142857144,5.0
127,95,WOA_Salinity,19.0,0.8257527181002198,35.975341796875,35.924898649516855,4,26,20.242857142857144,5.0
128,74,WOA_TEMP_K,14.799999999999999,3.92218543824445,20.031701660156273,22.26328595135665,4,26,20.242857142857144,5.0
129,70,SWrad,14.000000000000002,41.04214824305991,244.117919921875,234.81870727539064,4,26,20.242857142857144,5.0
133,99,SWrad,19.8,37.33715357921653,227.9966278076172,229.19740680733113,4,27,69.55555555555556,28.0
134,72,WOA_TEMP_K,14.399999999999999,3.4854711857708294,25.544549560546898,24.44401533338761,4,27,69.55555555555556,28.0
131,113,WOA_Nitrate,22.6,2.1539060991903045,0.13744130730628967,0.9614664093731383,4,27,69.55555555555556,28.0
130,114,WOA_MLDpt,22.8,31.20983041560064,44.67499923706055,35.70701730460451,4,27,69.55555555555556,28.0
132,102,WOA_Salinity,20.4,0.9375272349232632,36.085044860839844,35.75393489762848,4,27,69.55555555555556,28.0
135,202,WOA_MLDpt,40.400000000000006,25.05742103241618,35.349998474121094,25.458910755591816,4,28,43.33846153846154,11.0
136,92,WOA_Nitrate,18.4,1.689668574222871,1.538989543914795,1.6666112203231973,4,28,43.33846153846154,11.0
137,73,WOA_Salinity,14.6,0.9253179045183886,35.6026496887207,35.63493634576667,4,28,43.33846153846154,11.0
